County,Office,Candidate,Party,District,Votes
,City-County or City Common Council Member,LACY HAHN,Democratic,"MI CITY COUNCIL DIST 1, MI CITY COUNCIL DIST 2, MI CITY COUNCIL DIST 3, MI CITY COUNCIL DIST 4, MI CITY COUNCIL DIST 5, MI CITY COUNCIL DIST 6",2565
,City-County or City Common Council Member,Laila Veidemanis,Democratic,West Lafayette City Council District 1,32
,City-County or City Common Council Member,Lance Raphael,Democratic,Valparaiso 4,689
,City-County or City Common Council Member,Lance Stephenson,Democratic,ANDERSON 5,947
,City-County or City Common Council Member,Lane Skeeters,Democratic,F-SC,1559
,City-County or City Common Council Member,Larry "Bamm" Caudell,Democratic,MITCHELL,377
,City-County or City Common Council Member,Larry J. Leverenz,Democratic,West Lafayette City Council District 4,768
,City-County or City Common Council Member,Larry J. Terwillegar,Democratic,Gas City District 1,289
,City-County or City Common Council Member,Larry K. Kleeman,Democratic,1,224
,City-County or City Common Council Member,Latonya King,Democratic,ELKHART 6,342
,City-County or City Common Council Member,Lauren Ahlersmeyer,Democratic,Lafayette City Council District 4,589
,City-County or City Common Council Member,Lenny FranciskI,Democratic,EAST CHICAGO 2ND DISTRICT,184
,City-County or City Common Council Member,Leroy Robinson,Democratic,001,5865
,City-County or City Common Council Member,Leslie Newman,Democratic,LINTON DIST 5,96
,City-County or City Common Council Member,Linda Barnes-Caldwell,Democratic,GARY 5TH DISTRICT,779
,City-County or City Common Council Member,Linda D Bedwell,Democratic,LINTON DIST 4,116
,City-County or City Common Council Member,Linda D West,Democratic,5,206
,City-County or City Common Council Member,Linda M. Gerber,Democratic,"GOSHEN 1, GOSHEN 2, GOSHEN 3, GOSHEN 4, GOSHEN 5",2824
,City-County or City Common Council Member,Lisa C Williams,Democratic,RISING SUN,298
,City-County or City Common Council Member,Lisa Chavis,Democratic,LAWRENCE,4644
,City-County or City Common Council Member,Lisa Krebs,Democratic,LAKE STATION 2ND DISTRICT,160
,City-County or City Common Council Member,Lisa M Winstead,Democratic,HOBART 4TH DISTRICT,657
,City-County or City Common Council Member,Liz Masur,Democratic,LAWRENCE,4499
,City-County or City Common Council Member,Lori Latham,Democratic,GARY 1ST DISTRICT,1403
,City-County or City Common Council Member,LOU ANN HOMAN,Democratic,CITY OF ANGOLA,46
,City-County or City Common Council Member,LOUISE GOHMANN,Democratic,5,786
,City-County or City Common Council Member,Lucinda M Wright,Democratic,2,269
,City-County or City Common Council Member,Lynn Johnson,Democratic,"Marion District 1, Marion District 2, Marion District 3, Marion District 4, Marion District 5, Marion District 6",1259
,City-County or City Common Council Member,Maggie A Lewis,Democratic,005,3260
,City-County or City Common Council Member,Manjit S Nagra,Democratic,GRWD CITY COUNCIL DIST 3,491
,City-County or City Common Council Member,Mark A Kopil,Democratic,HOBART 1ST DISTRICT,605
,City-County or City Common Council Member,Mark D Kara,Democratic,HOBART 2ND DISTRICT,575
,City-County or City Common Council Member,Mark KalwinskI,Democratic,HAMMOND 1ST DISTRICT,947
,City-County or City Common Council Member,Mark Koger,Democratic,"HENRY 05, HENRY 06, HENRY 10",308
,City-County or City Common Council Member,Mark Nicholson,Democratic,Vienna 4,200
,City-County or City Common Council Member,Mark Spencer,Democratic,Gary,4072
,City-County or City Common Council Member,MARY ALLEN,Democratic,Evansville,8211
,City-County or City Common Council Member,Mary Ann P. Eaglin,Democratic,MADISON CC DIST 3,158
,City-County or City Common Council Member,Mary Brown,Democratic,GARY 3RD DISTRICT,1140
,City-County or City Common Council Member,MATT CARROLL,Democratic,MI CITY COUNCIL DIST 2,591
,City-County or City Common Council Member,Matt Fisher,Democratic,GOSHEN 1,227
,City-County or City Common Council Member,Matt Flaherty,Democratic,BLOOMINGTON CITY,3461
,City-County or City Common Council Member,MATT MAMMOLENTI,Democratic,"MI CITY COUNCIL DIST 1, MI CITY COUNCIL DIST 2, MI CITY COUNCIL DIST 3, MI CITY COUNCIL DIST 4, MI CITY COUNCIL DIST 5, MI CITY COUNCIL DIST 6",2785
,City-County or City Common Council Member,Matthew Claussen,Democratic,Hobart,2346
,City-County or City Common Council Member,MAURY GOLDBERG,Democratic,NEW ALBANY,2279
,City-County or City Common Council Member,Megan Eichorn,Democratic,GOSHEN 4,945
,City-County or City Common Council Member,Megan Rogers,Democratic,Plymouth Council District 1,73
,City-County or City Common Council Member,Melanie Brown,Democratic,NW,2102
,City-County or City Common Council Member,Melissa Rinehart,Democratic,FORT WAYNE CITY COUNCIL 2ND DISTRICT,3962
,City-County or City Common Council Member,Melissa Weast-Williamson,Democratic,Lafayette City Council District 5,524
,City-County or City Common Council Member,Meredith (CoCo) Armstrong,Democratic,ANDERSON,3228
,City-County or City Common Council Member,Mia Leonard,Democratic,SALEM 3,100
,City-County or City Common Council Member,Michael "MIke" Barnett,Democratic,3,96
,City-County or City Common Council Member,Michael Katcher,Democratic,KCC3,352
,City-County or City Common Council Member,Michael R. Anderson,Democratic,CANNELTON,65
,City-County or City Common Council Member,Michael Rodriguez,Democratic,HOBART 3RD DISTRICT,784
,City-County or City Common Council Member,Michelle Chambers,Democratic,FORT WAYNE,21952
,City-County or City Common Council Member,Michelle Dennis,Democratic,West Lafayette City Council District 2,495
,City-County or City Common Council Member,Miesje  Biggs,Democratic,"Clay City, Logansport 01, Noble City",137
,City-County or City Common Council Member,Mike Finley,Democratic,4,199
,City-County or City Common Council Member,MIKE REIDY,Democratic,Crawfordsville,434
,City-County or City Common Council Member,Mike Webb,Democratic,District 3,203
,City-County or City Common Council Member,MISSY MOSBY,Democratic,2,1496
,City-County or City Common Council Member,Monica Guzman Gonzalez,Democratic,EAST CHICAGO 1ST DISTRICT,198
,City-County or City Common Council Member,Nancy Moldenhauer,Democratic,W6,570
,City-County or City Common Council Member,Nancy Nargi,Democratic,LAFAYETTE,2359
,City-County or City Common Council Member,Nathan Cardenas,Democratic,GRWD CITY COUNCIL DIST 4,225
,City-County or City Common Council Member,Nick Roberts,Democratic,004,5936
,City-County or City Common Council Member,Nick Slabaugh,Democratic,CCC1,253
,City-County or City Common Council Member,NICK SUTTON,Democratic,CITY OF ANGOLA,118
,City-County or City Common Council Member,Nora K Evans Powell,Democratic,Muncie 2,1001
,City-County or City Common Council Member,OLIVER DAVIS,Democratic,"SB CITY COUNCIL DIST 1, SB CITY COUNCIL DIST 2, SB CITY COUNCIL DIST 3, SB CITY COUNCIL DIST 4, SB CITY COUNCIL DIST 5, SB CITY COUNCIL DIST 6",6741
,City-County or City Common Council Member,Ollie H Dixon,Democratic,ANDERSON 4,899
,City-County or City Common Council Member,OPHELIA GOODEN-RODGERS,Democratic,SB CITY COUNCIL DIST 2,936
,City-County or City Common Council Member,P BRAD DEAL,Democratic,CITY OF BRAZIL WARD I,54
,City-County or City Common Council Member,Pat Kirchner,Democratic,North Vernon,482
,City-County or City Common Council Member,Patrick Addis,Democratic,3,298
,City-County or City Common Council Member,Patti Hays,Democratic,FORT WAYNE CITY COUNCIL 4TH DISTRICT,4666
,City-County or City Common Council Member,Patti Louks,Democratic,GREENDALE 1,78
,City-County or City Common Council Member,Paul (Shorty) Walters,Democratic,WARD 4,134
,City-County or City Common Council Member,PAUL GREEN,Democratic,Evansville,7884
,City-County or City Common Council Member,Paul J. Hoffman,Democratic,COLUMBUS,2447
,City-County or City Common Council Member,Paul L. Holsapple,Democratic,SALEM 2,74
,City-County or City Common Council Member,Paula Jo Gilliam,Democratic,Noblesville,2484
,City-County or City Common Council Member,Peggy  Sluder,Democratic,Jasonville,178
,City-County or City Common Council Member,Perry Brown,Democratic,Lafayette City Council District 3,360
,City-County or City Common Council Member,Pete Backus Sr.,Democratic,"MADISON CC DIST 1, MADISON CC DIST 2, MADISON CC DIST 3, MADISON CC DIST 4, MADISON CC DIST 5",1207
,City-County or City Common Council Member,"Pete Trinidad, Jr.",Democratic,Portage 2,609
,City-County or City Common Council Member,Phil Webster,Democratic,021,1620
,City-County or City Common Council Member,Philip Lederach,Democratic,GOSHEN 5,977
,City-County or City Common Council Member,Philip N Davis II,Democratic,BEECH GROVE,1125
,City-County or City Common Council Member,Rachael Mercado,Democratic,GOSHEN 2,542
,City-County or City Common Council Member,Rachel Matthews,Democratic,CITY OF GREENWOOD,1654
,City-County or City Common Council Member,RACHEL TOMAS MORGAN,Democratic,"SB CITY COUNCIL DIST 1, SB CITY COUNCIL DIST 2, SB CITY COUNCIL DIST 3, SB CITY COUNCIL DIST 4, SB CITY COUNCIL DIST 5, SB CITY COUNCIL DIST 6",6782
,City-County or City Common Council Member,Rebecca (Becky)  Crumes,Democratic,ANDERSON,3611
,City-County or City Common Council Member,Rebecca (Becky) Hansen   ,Democratic,NEW HAVEN CITY COUNCIL 3RD DISTRICT,85
,City-County or City Common Council Member,REBECCA BECKY BLAGRAVE,Democratic,VINCENNES CITY,156
,City-County or City Common Council Member,Rebecca J Sanders,Democratic,Lake Station,657
,City-County or City Common Council Member,Rebecca M (Becky)  Foster,Democratic,LAWRENCEBURG 03,69
,City-County or City Common Council Member,Renee L. Mather,Democratic,SALEM 4,100
,City-County or City Common Council Member,Rex Peckinpaugh,Democratic,NEW CASTLE,1741
,City-County or City Common Council Member,Richard Ashby,Democratic,VINCENNES CITY,1263
,City-County or City Common Council Member,Richard Cozart,Democratic,Vienna 3,118
,City-County or City Common Council Member,Rick Cannon,Democratic,CHARLESTOWN,921
,City-County or City Common Council Member,Rick Long,Democratic,LAKE STATION 5TH DISTRICT,124
,City-County or City Common Council Member,RICK ORCUTT,Democratic,AURORA,190
,City-County or City Common Council Member,Rick Wells,Democratic,LAWRENCE 2,277
,City-County or City Common Council Member,Rita J Perkins,Democratic,Marion District 1,200
,City-County or City Common Council Member,Robert (Bob) Alexander,Democratic,CLINTON CITY,401
,City-County or City Common Council Member,Robert (Bob) Cotton,Democratic,Valparaiso 2,858
,City-County or City Common Council Member,Robert D Stephenson,Democratic,KCC2,469
,City-County or City Common Council Member,Robert Garcia,Democratic,EAST CHICAGO 5TH DISTRICT,223
,City-County or City Common Council Member,ROBERT M. TANNER,Democratic,CITY OF COVINGTON,148
,City-County or City Common Council Member,RON BANICKI,Democratic,MI CITY COUNCIL DIST 6,286
,City-County or City Common Council Member,Ron Gibson,Democratic,008,6001
,City-County or City Common Council Member,RON GILBERT,Democratic,LOOGOOTEE,229
,City-County or City Common Council Member,Ron Itnyre,Democratic,RICHMOND,2086
,City-County or City Common Council Member,Ron Parrott,Democratic,CIC3,82
,City-County or City Common Council Member,Ronald (Ron) G Brewer Sr,Democratic,Gary,4182
,City-County or City Common Council Member,Ronald Parker,Democratic,Knox,318
,City-County or City Common Council Member,RUSSELL HARVEY,Democratic,GREENCASTLE WARD 1,145
,City-County or City Common Council Member,Ruth Gunter,Democratic,1,39
,City-County or City Common Council Member,Ryan Hughey,Democratic,023,1640
,City-County or City Common Council Member,Ryan T Fleming,Democratic,CROWN POINT 5TH DISTRICT,396
,City-County or City Common Council Member,Samantha R. Chapman,Democratic,F-NE,1677
,City-County or City Common Council Member,Samuel (Sam) Tyner,Democratic,ELWOOD 1,155
,City-County or City Common Council Member,Sandra Rodriguez-McMasters,Democratic,"GOSHEN 1, GOSHEN 2, GOSHEN 3, GOSHEN 4, GOSHEN 5",2557
,City-County or City Common Council Member,Santiago (Jim) Nunez Jr.,Democratic,WINCHESTER 3,181
,City-County or City Common Council Member,Sara Draper,Democratic,Carmel,13888
,City-County or City Common Council Member,Sara Gullion,Democratic,Muncie 4,1199
,City-County or City Common Council Member,Scott G Peattie,Democratic,5,440
,City-County or City Common Council Member,Scott Jenkins,Democratic,PETERSBURG,137
,City-County or City Common Council Member,Scott L. Byrum,Democratic,UNION CITY,106
,City-County or City Common Council Member,Scott M Rakos,Democratic,HAMMOND 6TH DISTRICT,812
,City-County or City Common Council Member,SCOTT MCELHANEY,Democratic,CC2,190
,City-County or City Common Council Member,SCOTT THORNSBERRY,Democratic,CC3,165
,City-County or City Common Council Member,Sean "Fitz" Fitzpatrick,Democratic,W4,502
,City-County or City Common Council Member,Sean M Packer,Democratic,PRINCETON 4,40
,City-County or City Common Council Member,Shannan Martin,Democratic,GOSHEN 3,273
,City-County or City Common Council Member,Shannon Conder,Democratic,OAKLAND CITY 3,25
,City-County or City Common Council Member,SHARON MCBRIDE,Democratic,SB CITY COUNCIL DIST 3,1125
,City-County or City Common Council Member,Sharon Tucker,Democratic,FORT WAYNE CITY COUNCIL 6TH DISTRICT,3133
,City-County or City Common Council Member,Shawn Russell,Democratic,District 2,170
,City-County or City Common Council Member,SHEILA NIEZGODSKI,Democratic,SB CITY COUNCIL DIST 6,743
,City-County or City Common Council Member,SHELLI TREELY,Democratic,MI CITY COUNCIL DIST 4,418
,City-County or City Common Council Member,Sherron R. Freeman,Democratic,LAWRENCE 3,1383
,City-County or City Common Council Member,SHERRY L BOLDEN-SIMPSON  ,Democratic,SB CITY COUNCIL DIST 5,1414
,City-County or City Common Council Member,Sherry L Cowen,Democratic,Knox,367
,City-County or City Common Council Member,Shiloh Carothers Milner,Democratic,Plymouth Council District 3,209
,City-County or City Common Council Member,Shruti Rana,Democratic,BLOOMINGTON CITY COUNCIL 5,1603
,City-County or City Common Council Member,Stacey Baitinger Burr,Democratic,West Lafayette City Council District 6,109
,City-County or City Common Council Member,Staci Mullins,Democratic,Jennings 3,107
,City-County or City Common Council Member,Stacy Dixon-Winfield,Democratic,EAST CHICAGO 4TH DISTRICT,354
,City-County or City Common Council Member,Stephanie Crandall,Democratic,FORT WAYNE,18313
,City-County or City Common Council Member,Stephanie Gaskins-Mcguire,Democratic,PETERSBURG,82
,City-County or City Common Council Member,STEPHANIE MARTZ,Democratic,CC4,140
,City-County or City Common Council Member,Steve Anderson,Democratic,PERU,640
,City-County or City Common Council Member,Steve Craig,Democratic,Muncie 1,566
,City-County or City Common Council Member,Steve Snyder ,Democratic,LAFAYETTE,2238
,City-County or City Common Council Member,Susan (Susie) Pouder,Democratic,1,210
,City-County or City Common Council Member,Susan AntoszewskI,Democratic,LAPORTE,765
,City-County or City Common Council Member,Suzy Wamsley,Democratic,Logansport,921
,City-County or City Common Council Member,Sydney Zulich,Democratic,BLOOMINGTON CITY COUNCIL 6,94
,City-County or City Common Council Member,Tai Adkins,Democratic,GARY 4TH DISTRICT,1190
,City-County or City Common Council Member,TAMMY BOLAND,Democratic,TERRE HAUTE,5834
,City-County or City Common Council Member,Tashawnna M Summers,Democratic,KCC1,254
,City-County or City Common Council Member,Terence (Terry) Hill,Democratic,EAST CHICAGO 3RD DISTRICT,255
,City-County or City Common Council Member,Teresa M Nolley,Democratic,LOOGOOTEE,223
,City-County or City Common Council Member,Terry Hahn,Democratic,"CENTER 1, CENTER 2, CENTER 3, CENTER 4",379
,City-County or City Common Council Member,TIM BIGGIN LAWRENCE,Democratic,LOOGOOTEE,167
,City-County or City Common Council Member,Tim Roby,Democratic,ELWOOD 2,76
,City-County or City Common Council Member,Tina M Rumsey,Democratic,RISING SUN,203
,City-County or City Common Council Member,Tito Farias,Democratic,UNION CITY,175
,City-County or City Common Council Member,Todd Buckmaster,Democratic,ELWOOD,523
,City-County or City Common Council Member,TODD NATION ,Democratic,04,506
,City-County or City Common Council Member,Todd R Walton,Democratic,RISING SUN,268
,City-County or City Common Council Member,Tom Dell,Democratic,COLUMBUS,3944
,City-County or City Common Council Member,Tom Kleeman,Democratic,Garrett 2,64
,City-County or City Common Council Member,Tonda Hines,Democratic,"ELKHART 1, ELKHART 2, ELKHART 3, ELKHART 4, ELKHART 5, ELKHART 6",1833
,City-County or City Common Council Member,Tony Richards,Democratic,LINTON DIST 3,107
,City-County or City Common Council Member,TONY VIOLI,Democratic,MI CITY COUNCIL DIST 5,607
,City-County or City Common Council Member,Tonya Pacey,Democratic,SEYMOUR,382
,City-County or City Common Council Member,Tracie Y. Tillman,Democratic,W5,459
,City-County or City Common Council Member,Trevor  Mcintosh,Democratic,Austin,342
,City-County or City Common Council Member,Troy E. Richards,Democratic,Gas City District 2,162
,City-County or City Common Council Member,TROY WARNER,Democratic,SB CITY COUNCIL DIST 4,1938
,City-County or City Common Council Member,Tyler P Fullenkamp,Democratic,DECATUR 2,209
,City-County or City Common Council Member,Tyrrell Giles,Democratic,LAWRENCE 1,463
,City-County or City Common Council Member,Vanessa (Coach V) Hernandez-Orange,Democratic,East Chicago,991
,City-County or City Common Council Member,Veronica Pejril,Democratic,GREENCASTLE WARD 3,147
,City-County or City Common Council Member,Vidya Kora,Democratic,MICHIGAN CITY,2526
,City-County or City Common Council Member,Vincent M (Vince) Aguirre,Democratic,GREENCASTLE WARD 4,134
,City-County or City Common Council Member,Vop Osili,Democratic,012,4442
,City-County or City Common Council Member,William (Bill) Henry,Democratic,"Marion District 1, Marion District 2, Marion District 3, Marion District 4, Marion District 5, Marion District 6",1220
,City-County or City Common Council Member,William (Billy Mac) Mcintosh ,Democratic,MUNCIE,3463
,City-County or City Common Council Member,William C Engle,Democratic,3,776
,City-County or City Common Council Member,William J Emerson Sr.,Democratic,HAMMOND 4TH DISTRICT,889
,City-County or City Common Council Member,William Jackson,Democratic,020,2791
,City-County or City Common Council Member,William L (Bill) Perryman,Democratic,HOBART 5TH DISTRICT,342
,City-County or City Common Council Member,ZAC HERONEMUS,Democratic,3,1892
,City-County or City Common Council Member,Zach Cramer,Democratic,LAWRENCE 5,1153
,City-County or City Common Council Member,Zack Bryan,Democratic,Crown Point,2168
,City-County or City Common Council Member,Joseph  Conn,Green,Hobart,1175
,City-County or City Common Council Member,Brent W. Wright,Independent,PORTAGE,2108
,City-County or City Common Council Member,Brian Allen Kirschbaum,Independent,Lebanon Ward 5,133
,City-County or City Common Council Member,Chris L Carlisle,Independent,MITCHELL,337
,City-County or City Common Council Member,Christopher Michael McCreery,Independent,KENDALLVILLE,234
,City-County or City Common Council Member,Derek Jorgensen,Independent,"GREENCASTLE WARD 1, GREENCASTLE WARD 2, GREENCASTLE WARD 3, GREENCASTLE WARD 4",356
,City-County or City Common Council Member,ERIC GARBER,Independent,CC1,239
,City-County or City Common Council Member,ETHAN HOLLANDER,Independent,CRAWFORDSVILLE WARD 2,115
,City-County or City Common Council Member,James Lee Janes,Independent,ALEXANDRIA 3,45
,City-County or City Common Council Member,Jeff Rayburn,Independent,Rensselaer,555
,City-County or City Common Council Member,JOHNNY SMITH,Independent,CITY OF ATTICA,192
,City-County or City Common Council Member,Kerry Blessinger,Independent,HUNTINGBURG COUNCIL 4,69
,City-County or City Common Council Member,LESLIE DAVIS,Independent,CITY OF ATTICA,145
,City-County or City Common Council Member,Margie Sheffer,Independent,LAKE STATION 2ND DISTRICT,121
,City-County or City Common Council Member,MEGAN BONBRAKE,Independent,HUNTINGTON,1419
,City-County or City Common Council Member,Michael W. Isley,Independent,DELPHI,170
,City-County or City Common Council Member,Raymundo (Taco Ray) Garcia,Independent,HAMMOND 2ND DISTRICT,90
,City-County or City Common Council Member,Robert M Aker,Independent,2,170
,City-County or City Common Council Member,Rodney J. McCormick Sr.,Independent,W1,240
,City-County or City Common Council Member,Ryan Goode,Independent,GREENDALE 1,95
,City-County or City Common Council Member,SHELLY HURT,Independent,CITY OF ATTICA,124
,City-County or City Common Council Member,Steven Deweese,Independent,SEYMOUR,246
,City-County or City Common Council Member,Terry A Bryant,Independent,KCC1,98
,City-County or City Common Council Member,Tim L Hudson,Independent,LOOGOOTEE,265
,City-County or City Common Council Member,Tim Wehr,Independent,HUNTINGBURG,727
,City-County or City Common Council Member,Timothy M Salters,Independent,VINCENNES CITY,182
,City-County or City Common Council Member,Tom Lounges,Independent,HOBART 2ND DISTRICT,401
,City-County or City Common Council Member,Tyler Henkle,Independent,SEYMOUR,319
,City-County or City Common Council Member,William James Erdle,Independent,MITCHELL,133
,City-County or City Common Council Member,Brandon Collins,Libertarian,ANDERSON 1,285
,City-County or City Common Council Member,Elizabeth J. (Libby) Glass,Libertarian,013,1564
,City-County or City Common Council Member,Eric Lewis,Libertarian,WINCHESTER 1 and 2,19
,City-County or City Common Council Member,Ethan Jay Gaudette ,Libertarian,FORT WAYNE,3254
,City-County or City Common Council Member,Hugh Coy Applegate II,Libertarian,WINCHESTER 1 and 2,41
,City-County or City Common Council Member,James M. Sceniak,Libertarian,CITY OF GREENWOOD,997
,City-County or City Common Council Member,JEFFERY MAYOTT,Libertarian,2,74
,City-County or City Common Council Member,JOSH (JT) TURNER,Libertarian,NEW ALBANY,2738
,City-County or City Common Council Member,Josiah Eller,Libertarian,Lafayette City Council District 4,143
,City-County or City Common Council Member,Lydia Carpenter,Libertarian,WINCHESTER 4,57
,City-County or City Common Council Member,Mark A Renholzberger,Libertarian,018,1099
,City-County or City Common Council Member,Melany Love,Libertarian,SOUTHWEST,109
,City-County or City Common Council Member,Steve L Smith,Libertarian,MUNCIE,1310
,City-County or City Common Council Member,Thomas (Tom) Armstrong,Libertarian,WINCHESTER 3,48
,City-County or City Common Council Member,Tina Ransom,Libertarian,SALEM 2,16
,City-County or City Common Council Member,Aaron Clark,Republican,MUNCIE,3345
,City-County or City Common Council Member,Aaron Short,Republican,LAWRENCE 6,1246
,City-County or City Common Council Member,Aaron Smith,Republican,N03,807
,City-County or City Common Council Member,Aaron T. Abell,Republican,West Lafayette City Council District 1,13
,City-County or City Common Council Member,Abby Wilder,Republican,DECATUR 3,396
,City-County or City Common Council Member,Adam Aasen,Republican,SE,3433
,City-County or City Common Council Member,Alex Engelbert,Republican,COLUMBUS,2578
,City-County or City Common Council Member,Allen Brown,Republican,2,197
,City-County or City Common Council Member,Amanda  Charles,Republican,Garrett 3,88
,City-County or City Common Council Member,Amelia Gascoigne  ,Republican,NEW HAVEN CITY COUNCIL 5TH DISTRICT,185
,City-County or City Common Council Member,Amy A Roe,Republican,2,69
,City-County or City Common Council Member,Amy Ballard,Republican,KENDALLVILLE,269
,City-County or City Common Council Member,Amy Kirkpatrick,Republican,2ND CITY COUNCIL DIST.,547
,City-County or City Common Council Member,Amy Rosa,Republican,Nappanee,324
,City-County or City Common Council Member,Andrew Atkins,Republican,Plymouth Council District 3,174
,City-County or City Common Council Member,ANDREW D. RENSBERGER,Republican,HUNTINGTON,1705
,City-County or City Common Council Member,Andrew J Klescht,Republican,North Vernon,497
,City-County or City Common Council Member,Andrew Popp,Republican,Muncie 5,318
,City-County or City Common Council Member,ANDY BIDDLE,Republican,Crawfordsville,486
,City-County or City Common Council Member,Andy Hoehn,Republican,3,184
,City-County or City Common Council Member,Andy Whitton,Republican,Marion District 5,245
,City-County or City Common Council Member,Angela J Modesitt,Republican,CITY OF BRAZIL WARD II,29
,City-County or City Common Council Member,ANGELA KOEHLER LINDSEY,Republican,5,2748
,City-County or City Common Council Member,Ann Miller,Republican,MARTINSVILLE,212
,City-County or City Common Council Member,Anne McGuinness,Republican,FRANKLIN CITY COUNCIL DIST 2,279
,City-County or City Common Council Member,Anne Taylor  ,Republican,5,497
,City-County or City Common Council Member,Anthony (Tony) Abbott,Republican,LAWRENCEBURG 01,175
,City-County or City Common Council Member,Anthony (Tony) Green,Republican,SC,3055
,City-County or City Common Council Member,ANTHONY (TONY) HAZEN,Republican,MI CITY COUNCIL DIST 3,943
,City-County or City Common Council Member,Anthony Scott,Republican,1ST CITY COUNCIL DIST.,541
,City-County or City Common Council Member,Anthony Wire,Republican,Portage 1,412
,City-County or City Common Council Member,Aricka M Ulery,Republican,1,193
,City-County or City Common Council Member,Arthur (Art)  M Pepelea Jr.,Republican,ANDERSON 5,800
,City-County or City Common Council Member,Ashley Hilfiker,Republican,PORTLAND,669
,City-County or City Common Council Member,ASHLEY PORTOLESE-MILLER,Republican,"MI CITY COUNCIL DIST 1, MI CITY COUNCIL DIST 2, MI CITY COUNCIL DIST 3, MI CITY COUNCIL DIST 4, MI CITY COUNCIL DIST 5, MI CITY COUNCIL DIST 6",2253
,City-County or City Common Council Member,Austin  Fletcher,Republican,Knox,316
,City-County or City Common Council Member,Austin Yoder,Republican,Nappanee,353
,City-County or City Common Council Member,Baron Wilder,Republican,North Vernon,665
,City-County or City Common Council Member,Ben Leavitt,Republican,Nappanee,362
,City-County or City Common Council Member,Benjamin  Mahan,Republican,2,54
,City-County or City Common Council Member,Benjamin A Grant,Republican,Logansport,840
,City-County or City Common Council Member,BETH ENNEKING,Republican,Dist 3,45
,City-County or City Common Council Member,Beth Uram,Republican,CROWN POINT 1ST DISTRICT,303
,City-County or City Common Council Member,Bethany Brewer,Republican,OAKLAND CITY 4,54
,City-County or City Common Council Member,Betsy Means-Davis,Republican,2,286
,City-County or City Common Council Member,Bill Aspy,Republican,CIC3,117
,City-County or City Common Council Member,Bill Burns,Republican,Jeffersonville 2,1047
,City-County or City Common Council Member,Bill Gray,Republican,4,199
,City-County or City Common Council Member,Bill Hill,Republican,Austin,249
,City-County or City Common Council Member,Bill Hoagland,Republican,Vienna 3,100
,City-County or City Common Council Member,BJ Cox,Republican,"Logansport 02, Washington City",227
,City-County or City Common Council Member,BJ Steele,Republican,Charlestown C,518
,City-County or City Common Council Member,Blake Isaacs,Republican,4,163
,City-County or City Common Council Member,Bo Bertram,Republican,Charlestown A,427
,City-County or City Common Council Member,Bob Clemons,Republican,CROWN POINT 2ND DISTRICT,432
,City-County or City Common Council Member,Bob Jones,Republican,LAWRENCE,3786
,City-County or City Common Council Member,Brad Bough,Republican,CT3,113
,City-County or City Common Council Member,Brad Dereamer,Republican,F-NE,2263
,City-County or City Common Council Member,Brad Lucas,Republican,5,368
,City-County or City Common Council Member,Brad Marshall,Republican,Muncie 4,1190
,City-County or City Common Council Member,BRAD SMITH,Republican,CITY OF COVINGTON,279
,City-County or City Common Council Member,BRADLEY BERKEMEIER,Republican,Rushville City Council 2,122
,City-County or City Common Council Member,Brady  Egdorf,Republican,OAKLAND CITY 1,32
,City-County or City Common Council Member,Brandi S Murphy,Republican,PERU,656
,City-County or City Common Council Member,Brandon A Elmore,Republican,UNION CITY,207
,City-County or City Common Council Member,Brandon Eckstein,Republican,Gas City District 3,143
,City-County or City Common Council Member,Brandon Richie,Republican,Plymouth,612
,City-County or City Common Council Member,Brenda Bishop-Kyle,Republican,014,2502
,City-County or City Common Council Member,Brent F. Addington,Republican,LAWRENCE 3,736
,City-County or City Common Council Member,Brent Warfield,Republican,GARRETT,240
,City-County or City Common Council Member,Brett (Mooch) Hamilton,Republican,GREENDALE,564
,City-County or City Common Council Member,Brett Bondurant,Republican,LAWRENCEBURG,758
,City-County or City Common Council Member,Brett F. Weddell,Republican,"GOSHEN 1, GOSHEN 2, GOSHEN 3, GOSHEN 4, GOSHEN 5",2953
,City-County or City Common Council Member,Brett Heinisch,Republican,BLOOMINGTON CITY COUNCIL 3,175
,City-County or City Common Council Member,Brian Best,Republican,Garrett 2,84
,City-County or City Common Council Member,Brian Cowgill,Republican,"Marion District 1, Marion District 2, Marion District 3, Marion District 4, Marion District 5, Marion District 6",1902
,City-County or City Common Council Member,Brian D. Steen,Republican,2,281
,City-County or City Common Council Member,Brian Goodman,Republican,"1, 2, 3, 4, 5",520
,City-County or City Common Council Member,Brian Grove,Republican,VINCENNES CITY,220
,City-County or City Common Council Member,Brian Hester,Republican,Charlestown D,391
,City-County or City Common Council Member,Brian L. Mowery,Republican,025,5720
,City-County or City Common Council Member,Brian M Fitzwater,Republican,3,89
,City-County or City Common Council Member,Brian Robb,Republican,3,192
,City-County or City Common Council Member,Brian Russell,Republican,WEST LAFAYETTE,1196
,City-County or City Common Council Member,Britt A Minks,Republican,RISING SUN,258
,City-County or City Common Council Member,Bruce  McIntosh,Republican,"PATOKA 01, PATOKA 02, PATOKA 03, PATOKA 04, PATOKA 05, PATOKA 06, PATOKA 07, PATOKA 08, PATOKA 11, PATOKA 14, PATOKA 15",635
,City-County or City Common Council Member,Bryan Dillon,Republican,WABASH,611
,City-County or City Common Council Member,Buck Holland,Republican,LOOGOOTEE,492
