County,Office,Candidate,Party,District,Votes
,Presidential Electors for US President & VP,Brian Carroll,American Solidarity,"1, 2, 3, 4, 5, 6, 7, 8, 9",895
,Presidential Electors for US President & VP,Joseph R. Biden,Democratic,"1, 2, 3, 4, 5, 6, 7, 8, 9",1242498
,Presidential Electors for US President & VP,Howie Hawkins,Green,"1, 2, 3, 4, 5, 6, 7, 8, 9",989
,Presidential Electors for US President & VP,Abram Loeb,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",0
,Presidential Electors for US President & VP,Christopher Stried,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",2
,Presidential Electors for US President & VP,Deborah Rouse,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",4
,Presidential Electors for US President & VP,Joe Schriner,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",13
,Presidential Electors for US President & VP,Kasey Wells,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",1
,Presidential Electors for US President & VP,Mitchell Williams,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",4
,Presidential Electors for US President & VP,Randall F,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",1
,Presidential Electors for US President & VP,Shawn Howard,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",23
,Presidential Electors for US President & VP,Valerie McCray,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",17
,Presidential Electors for US President & VP,Jo Jorgensen,Libertarian,"1, 2, 3, 4, 5, 6, 7, 8, 9",58901
,Presidential Electors for US President & VP,James L Johnson Jr.,Other,"1, 2, 3, 4, 5, 6, 7, 8, 9",5
,Presidential Electors for US President & VP,Donald J. Trump,Republican,"1, 2, 3, 4, 5, 6, 7, 8, 9",1729857
,Governor & Lt. Governor,Woodrow (Woody) Myers,Democratic,Indiana,968094
,Governor & Lt. Governor,Donald G. Rainwater II,Libertarian,Indiana,345567
,Governor & Lt. Governor,Eric Holcomb,Republican,Indiana,1706727
,Attorney General,Jonathan Weinzapfel,Democratic,Indiana,1229626
,Attorney General,Todd Rokita,Republican,Indiana,1721998
,US Representative,André Carson,Democratic,7,176422
,US Representative,Andy Ruff,Democratic,9,122566
,US Representative,Chip Coldiron,Democratic,3,104762
,US Representative,Christina Hale,Democratic,5,191226
,US Representative,E. Thomasina Marsili,Democratic,8,95691
,US Representative,Frank J. Mrvan,Democratic,1,185180
,US Representative,Jeannine Lee Lake,Democratic,6,91103
,US Representative,Joe Mackey,Democratic,4,112984
,US Representative,Patricia (Pat) Hackett,Democratic,2,114967
,US Representative,James D. Rodenberger,Libertarian,8,10283
,US Representative,Kenneth Tucker,Libertarian,5,16788
,US Representative,Michael Strauss,Libertarian,1,9521
,US Representative,Tom Ferkinhoff,Libertarian,6,11791
,US Representative,Tonya L. Millis,Libertarian,9,14415
,US Representative,Greg Pence,Republican,6,225319
,US Representative,Jackie Walorski,Republican,2,183601
,US Representative,Jim Baird,Republican,4,225531
,US Representative,Jim Banks,Republican,3,220989
,US Representative,Larry D. Bucshon,Republican,8,214643
,US Representative,Mark Leyva,Republican,1,132247
,US Representative,Susan Marie Smith,Republican,7,106146
,US Representative,Trey Hollingsworth,Republican,9,222057
,US Representative,Victoria Spartz,Republican,5,208212
,State Senator,Ashley Eason,Democratic,36,23633
,State Senator,Belinda Drake,Democratic,32,24688
,State Senator,Brandon M. Cavanaugh,Democratic,09,14216
,State Senator,Charles D Mumaw,Democratic,12,15030
,State Senator,Cynthia (Cinde) Wirth,Democratic,44,16267
,State Senator,David L. Niezgodski,Democratic,10,31706
,State Senator,Eddie D. Melton,Democratic,03,38445
,State Senator,Fady Qaddoura,Democratic,30,42268
,State Senator,Gary Davis,Democratic,08,24132
,State Senator,Greg Taylor,Democratic,33,47027
,State Senator,Jean D. Breaux,Democratic,34,43340
,State Senator,Juli Dominguez,Democratic,16,25767
,State Senator,Laura Fred-Smith,Democratic,18,13961
,State Senator,Lonnie M. Randolph,Democratic,02,31810
,State Senator,Luke Bohm,Democratic,05,22740
,State Senator,Pete Cowden,Democratic,35,21446
,State Senator,Ronald (Ronnie) Saunders III,Democratic,20,34004
,State Senator,Shelli Yoder,Democratic,40,41433
,State Senator,Stan Albaugh,Democratic,24,26681
,State Senator,Tabitha N. Bartley,Democratic,07,17385
,State Senator,Theresa Bruno,Democratic,28,25434
,State Senator,Tom  Wallace,Democratic,37,15423
,State Senator,Aaron Freeman,Republican,32,35517
,State Senator,Blake Doriot,Republican,12,32751
,State Senator,Brian W. Buchanan,Republican,07,39566
,State Senator,C. Susan Glick,Republican,13,41701
,State Senator,Ed Charbonneau,Republican,05,43664
,State Senator,Eric A. Koch,Republican,44,43907
,State Senator,Jack E. Sandlin,Republican,36,27601
,State Senator,Jean Leising,Republican,42,47463
,State Senator,John C. Ruckelshaus,Republican,30,38145
,State Senator,John Crane,Republican,24,50755
,State Senator,Justin Busch,Republican,16,35382
,State Senator,Michael R. Crider,Republican,28,42582
,State Senator,Mike Bohacek,Republican,08,35329
,State Senator,R. Michael Young,Republican,35,29557
,State Senator,Rodric D. Bray,Republican,37,52044
,State Senator,Ryan Mishler,Republican,09,42414
,State Senator,Scott A. Baldwin,Republican,20,56629
,State Senator,Stacey A Donato,Republican,18,38223
,State Senator,Vaneta G. Becker,Republican,50,45062
,State Representative,Aaron Mishler,Democratic,48,9105
,State Representative,Aimee Rivera Cole,Democratic,37,19159
,State Representative,Alex Sabol,Democratic,25,9500
,State Representative,Alyssa Bailey,Democratic,62,12468
,State Representative,Amanda Qualls,Democratic,49,8341
,State Representative,Amie Neiling,Democratic,32,8615
,State Representative,Amy Burke Adams,Democratic,42,9421
,State Representative,Angela Elliott,Democratic,93,11806
,State Representative,Ashley Klein,Democratic,39,20262
,State Representative,Beverly McDermott-Piazza,Democratic,91,9300
,State Representative,Bianka M. Tinklenberg,Democratic,17,6748
,State Representative,Blake Johnson,Democratic,100,16353
,State Representative,Carey Hamilton,Democratic,87,22729
,State Representative,Carolyn B. Jackson,Democratic,01,15436
,State Representative,Chad Harris,Democratic,18,6353
,State Representative,Charles (Chuck) Moseley,Democratic,10,23888
,State Representative,Cherrish S. Pryor,Democratic,94,21430
,State Representative,Chris Campbell,Democratic,26,15858
,State Representative,Chris Chyung,Democratic,15,16751
,State Representative,Cindy (Cynthia) Reinert,Democratic,58,10664
,State Representative,Dale Nowlin,Democratic,59,11873
,State Representative,Debora (Deb) Porter,Democratic,04,16704
,State Representative,Donald R. Westerhausen Jr.,Democratic,05,14190
,State Representative,Dylan McHenry,Democratic,30,9839
,State Representative,"Earl L. Harris, Jr.",Democratic,02,16871
,State Representative,Edward O. DeLaney,Democratic,86,27901
,State Representative,Emma Steele,Democratic,84,13670
,State Representative,Eric C. Shotwell,Democratic,28,11075
,State Representative,Erica Lawrence,Democratic,72,14275
,State Representative,Greg A. Woods,Democratic,41,7407
,State Representative,Gregory W Porter,Democratic,96,29342
,State Representative,Ian R. Gamroth,Democratic,64,7986
,State Representative,Jeffery W Prewitt,Democratic,69,4924
,State Representative,John Hurley,Democratic,75,13306
,State Representative,John L. Bartlett,Democratic,95,20799
,State Representative,Jordan Nienaber,Democratic,90,12584
,State Representative,Jorge Fernandez,Democratic,50,8517
,State Representative,Julie Snider,Democratic,33,7649
,State Representative,Justin Moed,Democratic,97,9707
,State Representative,Keegan Damron,Democratic,11,11697
,State Representative,Kelly Thompson,Democratic,22,8003
,State Representative,Kent Yeager,Democratic,70,10437
